,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
289,289,5.5,raxml,40,0.5,10,INT,REF,0.00759295914554035,0.0988446179791788,0.0337965705551023,0.0470748628243621,NA,NA,-1.70863723402287,5.88981322347066,0.461268733562168,0.582655987697715,0.829185461522469,1.14268455839746
290,290,5.5,raxml,40,0.5,1,INT,REF,0.000425213333531432,0.0561514457240282,0.00732237463232655,0.0109433457622388,NA,NA,-3.38017759830326,3.56785235333597,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
291,291,5.5,raxml,40,0.5,2,INT,REF,0.000425213333531432,0.0561514457240282,0.00732237463232655,0.0109433457622388,NA,NA,-3.38017759830326,3.56785235333597,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
292,292,5.5,raxml,40,0.5,3,INT,REF,0.00032887807102587,0.0233701017038809,0.01006647848527,0.0143228938618583,NA,NA,-2.65723649512562,4.34651486415792,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
293,293,5.5,raxml,40,0.5,4,INT,REF,0.000413846727137095,0.02742417811175,0.0111798483648887,0.0162079561282059,NA,NA,-2.1534027835658,4.66262121766689,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
294,294,5.5,raxml,40,0.5,5,INT,REF,0.00085508028603227,0.0486978099674597,0.0161563209478497,0.0224304700131949,NA,NA,-1.77501833013787,5.10655684855799,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
295,295,5.5,raxml,40,0.75,0,INT,REF,0.000456635114811715,0.0493410723667611,0.00692672738704703,0.010302825856939,NA,NA,-2.87651848936674,3.27601550398916,0.444794850220662,0.565685424949238,0.8236941670753,1.13702770414797
296,296,5.5,raxml,40,0.75,10,INT,REF,0.00968509131414555,0.10200595004774,0.032668693861746,0.0451970014533329,NA,NA,-0.892393477069026,5.80245359068976,0.461268733562168,0.582655987697715,0.829185461522469,1.14268455839746
297,297,5.5,raxml,40,0.75,1,INT,REF,0.000456635114811715,0.0493410723667611,0.00692672738704703,0.010302825856939,NA,NA,-2.87651848936674,3.27601550398916,0.444794850220662,0.565685424949238,0.8236941670753,1.13702770414797
298,298,5.5,raxml,40,0.75,2,INT,REF,0.000456635114811715,0.0493410723667611,0.00692672738704703,0.010302825856939,NA,NA,-2.87651848936674,3.27601550398916,0.444794850220662,0.565685424949238,0.8236941670753,1.13702770414797
299,299,5.5,raxml,40,0.75,3,INT,REF,0.000492093246764748,0.0219575007349237,0.00941850276088106,0.0136610285297074,NA,NA,-1.68919280610462,4.10357010488606,0.444794850220662,0.565685424949238,0.8236941670753,1.13702770414797
300,300,5.5,raxml,40,0.75,4,INT,REF,0.000611012811549368,0.0258949466066377,0.0104641186507721,0.01548127582247,NA,NA,-0.96488105387671,4.28220444911451,0.444794850220662,0.565685424949238,0.8236941670753,1.13702770414797
301,301,5.5,raxml,40,0.75,5,INT,REF,0.00114739809469518,0.0392636152046834,0.0138979150792369,0.0197426478675097,NA,NA,-1.3015824195172,4.94874475276153,0.444794850220662,0.565685424949238,0.8236941670753,1.13702770414797
302,302,5.5,raxml,40,0.9,0,INT,REF,0.000849823008570223,0.0404263209781818,0.00641405917044104,0.00934844656116726,NA,NA,-4.1659167834942,3.32884984829342,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
303,303,5.5,raxml,40,0.9,10,INT,REF,0.0119525481337027,0.0980818409577875,0.0307064828644981,0.0421471795426154,NA,NA,-0.778260960645392,5.65514110212635,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
304,304,5.5,raxml,40,0.9,1,INT,REF,0.000849823008570223,0.0404263209781818,0.00641405917044104,0.00934844656116726,NA,NA,-4.1659167834942,3.32884984829342,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
305,305,5.5,raxml,40,0.9,2,INT,REF,0.000849823008570223,0.0404263209781818,0.00641405917044104,0.00934844656116726,NA,NA,-4.1659167834942,3.32884984829342,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
306,306,5.5,raxml,40,0.9,3,INT,REF,0.000830910237846489,0.0186687169681291,0.00859395778064731,0.0127522173206763,NA,NA,-1.46012329199864,3.80931369677019,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
307,307,5.5,raxml,40,0.9,4,INT,REF,0.000991760832425729,0.0213175961243409,0.00953476899088626,0.0143424132807024,NA,NA,-0.901152454963168,4.11633050827615,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
308,308,5.5,raxml,40,0.9,5,INT,REF,0.00176585961059412,0.0323115769950571,0.0123271553937875,0.0178442017174021,NA,NA,-1.0699481930834,4.66990903086189,0.39262755297256,0.51194530957906,0.777018164274366,1.08894444302728
309,309,5.5,raxml,40,0,0,INT,REF,0.0259151718479822,0.000612909864471263,0.0109578989705366,0.0316020231865939,NA,NA,2.15712809186169,4.03424844851548,0.211414836215994,1.13419927702322,0.436557908549909,1.60937503398058
310,310,5.5,raxml,40,0,10,INT,REF,0.00697153257353561,0.0962346274414062,0.0344538574042938,0.0481488805268133,NA,NA,-1.69107477618959,5.85258562744717,0.461268733562168,0.582655987697715,0.829185461522469,1.14268455839746
311,311,5.5,raxml,40,0,1,INT,REF,0.0259151718479822,0.000612909864471263,0.0109578989705366,0.0316020231865939,NA,NA,2.15712809186169,4.03424844851548,0.211414836215994,1.13419927702322,0.436557908549909,1.60937503398058
312,312,5.5,raxml,40,0,2,INT,REF,0.0259151718479822,0.000612909864471263,0.0109578989705366,0.0316020231865939,NA,NA,2.15712809186169,4.03424844851548,0.211414836215994,1.13419927702322,0.436557908549909,1.60937503398058
313,313,5.5,raxml,40,0,3,INT,REF,0.000248715689685685,0.0221195534760846,0.0107128257265717,0.0150461905887865,NA,NA,-4.05988772943026,4.57986174158974,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
