,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,avg_dxy,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin
294,294,7,SHORT,raxml,40,NA,0.03,45290,48_0_0,INT,REF,0.0978981,0.187251192435836,0.239147127513238,0.0848161055591004,0.0618115945644784,47.5416666666667,31.8212817408602,-9.25804820629206,-9.20181322274777,0.271819075134849,0.299813275223096,0.766035575380029,0.939037805415735,66,0.156134453781513,0.38097577897935,-16.9347546722395,-0.277310369582018,-0.359679786289548,0.360202012168449,-3.50891153848531,-0.127279220613579,-0.0763675323681472
295,295,10,SHORT,raxml,40,0.75,0.02,48913,0_0_0,EXT,REF,0.347242,0.176613688300429,0.166167117343985,0.0883181390244031,0.0639297986632052,52.0416666666667,28.0174401106634,-9.28274844317135,-9.01832076680041,0.291038605699939,0.41577878733769,0.878607111546987,1.04934646328084,66,0.161824729891957,0.390306470331169,-14.5323815983508,-0.285547311252771,-0.263582133464096,0.388497494102603,-2.35681641800084,-0.0395979797464467,0.0169705627484771
296,296,8,SHORT,raxml,40,0.25,0.03,50344,25_0_0,INT,REF,0.115377,0.161740697316111,0.161412437474274,0.0865598316361465,0.0629127587176547,66.1041666666667,24.9955226487119,-9.406356032592,-9.25523413145704,0.258090839016927,0.353553390593274,0.757798633709276,0.98712106653642,54,0.0591236494597839,0.278770699373506,-16.9042706316906,-0.123554125061295,-0.260836486240511,0.404528690006509,-4.20520574072144,0.0989949493661166,0.0820243866176394
297,297,5,SHORT,raxml,40,0.25,0.03,43702,43_0_0,INT,REF,0.0965038,0.195797791624792,0.194709067460836,0.0842883886710677,0.0609759765497822,60.3541666666667,32.3475077689959,-9.13963953967641,-9.24880008880313,0.24710825012259,0.288499566724111,0.65895533366024,0.910753534168273,60,0.246830732292917,0.444608642373967,-16.6760630054135,-0.285547311252771,-0.461268733562168,0.346025637980316,-3.25249015039941,-0.121622366364086,-0.0989949493661165
298,298,10,SHORT,raxml,40,0.5,0.02,47991,47_0_0,INT,REF,0.113398,0.195516589988526,0.173713167877956,0.0890777482279433,0.0646535798390475,50.7708333333333,29.4150342102241,-9.22524431588559,-9.15956826798933,0.31025813626503,0.41577878733769,0.837422403193221,1.02106219203337,68,0.222849139655862,0.401845036893867,-15.2471253028679,-0.26632778068768,-0.304766841817861,0.381174396162125,-2.49744585662944,-0.0395979797464467,-0.0113137084989847
299,299,10,SHORT,raxml,40,0.5,0.02,49383,0_0_0,EXT,REF,0.347242,0.204126328705291,0.188118543251841,0.0888296004258315,0.0655835787542907,55.9166666666667,28.8767250259954,-9.05995870749593,-9.14429698383851,0.296529900147108,0.398808224589213,0.796237694839457,1.0040916292849,68,0.229487795118047,0.416611321639256,-15.1112611600416,-0.280056016805602,-0.345951550171626,0.392230526675298,-2.48205451360763,-0.0565685424949238,-0.028284271247462
300,300,1,SHORT,raxml,40,0.75,0.01,123953,35_0_0,INT,REF,0.112562,1.21917057830146,0.076374603823147,0.0460264204586932,0.12143713326702,48.3125,29.2706782699509,-9.4222827125205,-9.75463064262404,0.31025813626503,0.412950360212944,0.831931108746053,1.01823376490863,78,0.463641456582633,0.572545986473723,-10.3743570158363,-0.178467069532982,-0.244362602899006,0.995262680359394,-3.29467533097163,0.0480832611206852,0.0537401153701776
301,301,5,SHORT,raxml,40,0.5,0.03,43617,43_0_0,INT,REF,0.0965038,0.194989255471101,0.216270044939285,0.0846491463294425,0.0613792491411598,57.1666666666667,34.4453519288676,-9.11710781452604,-9.2166602615639,0.238871308451837,0.308298556597335,0.705631336461174,0.930552524041496,54,0.211276510604242,0.386319635654021,-15.4950526007999,-0.293784252923524,-0.414592730761234,0.345352621202404,-3.22007028134659,-0.101823376490863,-0.0791959594928933
302,302,5,SHORT,raxml,40,0.75,0.03,43232,43_0_0,INT,REF,0.0965038,0.192461891252222,0.253160250016906,0.0839776152583363,0.0594206001692406,58.5833333333333,34.3398740585141,-9.20586971623929,-9.32517520391248,0.170230127862229,0.246073159852919,0.719359572579095,0.885297690045557,58,0.211660664265706,0.409635988009341,-17.2206757038946,-0.362425433513132,-0.400864494643313,0.342304251090683,-3.32866301463645,-0.164048773235279,-0.124450793488832
303,303,6,SHORT,raxml,40,0.25,0.03,45015,0_0_0,EXT,REF,0.385973,0.188788709483547,0.226829712945204,0.0834636453322623,0.0602994815198425,47.9375,33.2900894139906,-9.22501670098661,-9.27635113040295,0.26632778068768,0.248901586977665,0.711122630908342,0.893782971419796,64,0.0510964385754302,0.291909641480085,-18.002027187959,-0.0851150639311143,-0.277310369582018,0.364287448409808,-4.49580048456022,0.0254558441227157,0.0197989898732233
