,tree.num,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,avg_dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,ml.tree
1362,1397,20,LONG,astral,40,0.5,0,EXT,REF,0_0_0,0.459323,0.954791666666667,0.118069391485151,0.340460255724457,0.376180807591243,0.708376983684758,0.98712106653642,0.100665422760478,0.0935894357743097,0.0645226070886941,0,-0.181212716756566,-0.395373200196144,0,0,-0.0226274169979695,-0.00565685424949236,46
1363,1398,20,LONG,astral,40,0.75,0,INT,REF,11_0_0,0.0338615,0.965,0.0964475383800669,0.252599544569759,0.418607214462436,0.626007566977228,1.00126320216015,0.0538409529942404,0.00415366146458583,0.0362995687573698,0,-0.269073427911265,-0.477742616903674,0,0,0.0197989898732233,0.00848528137423865,46
1364,1399,20,LONG,astral,40,0.5,0,INT,REF,11_0_0,0.0338615,0.961666666666667,0.112823215758923,0.304766841817861,0.418607214462436,0.694648747566836,1.00126320216015,0.0616798638263912,0.00444177671068427,0.0382169207081139,0,-0.216906130663162,-0.409101436314066,0,0,0.0197989898732233,0.00848528137423865,46
1365,1400,20,LONG,astral,40,0,0,INT,REF,11_0_0,0.0338615,0.959791666666667,0.115399206887892,0.304766841817861,0.418607214462436,0.694648747566836,1.00126320216015,0.0616798638263912,0.00444177671068427,0.0382169207081139,0,-0.216906130663162,-0.409101436314066,0,0,0.0197989898732233,0.00848528137423865,46
1366,1401,20,LONG,astral,40,0.25,0,INT,REF,11_0_0,0.0338615,0.962083333333333,0.108313145964156,0.304766841817861,0.418607214462436,0.694648747566836,1.00126320216015,0.0616798638263912,0.00444177671068427,0.0382169207081139,0,-0.216906130663162,-0.409101436314066,0,0,0.0197989898732233,0.00848528137423865,46
1367,1402,21,LONG,astral,40,0.75,0,INT,REF,18_0_0,0.0420365,0.976875,0.0693788934119292,0.263582133464096,0.319612265096319,0.631498861424397,0.936209378290989,0.0159498247201734,0.00110444177671068,0.0119770586876707,0,-0.178467069532982,-0.414592730761234,0,0,0.00282842712474618,0.00282842712474629,47
1368,1403,21,LONG,astral,40,0.75,0,EXT,REF,0_0_0,0.503888,0.964791666666667,0.117563737051455,0.244362602899006,0.308298556597335,0.5958054475178,0.930552524041496,0.0242141197649071,0.00166866746698679,0.0249127734636368,0,-0.197686600098072,-0.450286144667831,0,0,-0.0084852813742386,-0.00282842712474618,47
1369,1404,21,LONG,astral,40,0.5,0,INT,REF,18_0_0,0.0420365,0.971041666666667,0.096320378156582,0.321240725159367,0.316783837971573,0.694648747566836,0.933380951166243,0.0135269747406115,0.00110444177671068,0.0137547994170888,0,-0.120808477837711,-0.351442844618795,0,0,0,0,47
1370,1405,21,LONG,astral,40,0,0,INT,REF,18_0_0,0.0420365,0.965416666666667,0.106510579503162,0.321240725159367,0.316783837971573,0.694648747566836,0.933380951166243,0.0135269747406114,0.00110444177671068,0.0137547994170884,0,-0.120808477837711,-0.351442844618795,0,0,0,0,47
1371,1406,21,LONG,astral,40,0.25,0,INT,REF,18_0_0,0.0420365,0.963125,0.112876438752877,0.323986372382951,0.319612265096319,0.697394394790421,0.936209378290989,0.0159498247201737,0.00110444177671068,0.0119770586876703,0,-0.118062830614126,-0.34869719739521,0,0,0.00282842712474618,0.00282842712474629,47
1372,1407,21,LONG,astral,40,0.5,0,EXT,REF,0_0_0,0.503888,0.96875,0.107041948428662,0.244362602899006,0.316783837971573,0.5958054475178,0.933380951166243,0,0,0,0,-0.197686600098072,-0.450286144667831,0,0,0,0,47
1373,1408,21,LONG,astral,40,0.25,0,EXT,REF,0_0_0,0.503888,0.976458333333333,0.0824231320384967,0.244362602899006,0.316783837971573,0.5958054475178,0.933380951166243,0,0,0,0,-0.197686600098072,-0.450286144667831,0,0,0,0,47
1374,1409,21,LONG,astral,40,0,0,EXT,REF,0_0_0,0.503888,0.972291666666667,0.0923508477384706,0.24710825012259,0.319612265096319,0.598551094741385,0.936209378290989,0.0159498247201741,0.00110444177671068,0.0119770586876707,0,-0.194940952874488,-0.447540497444246,0,0,0.00282842712474618,0.00282842712474629,47
1375,1410,22,LONG,astral,40,0.75,0,EXT,REF,0_0_0,0.413735,0.963125,0.113384231895591,0.420084025208403,0.560028570699746,0.809965930957378,1.11440028715,0.0264426046065585,0.00266506602641056,0.0246693604390491,0,-0.222397425110331,-0.381644964078222,0,0,0.0367695526217005,0.0311126983722081,48
1376,1411,22,LONG,astral,40,0.5,0,EXT,REF,0_0_0,0.413735,0.970416666666667,0.102582780964227,0.420084025208403,0.560028570699746,0.809965930957378,1.11440028715,0.0264426046065586,0.00266506602641056,0.0246693604390491,0,-0.222397425110331,-0.381644964078222,0,0,0.0367695526217005,0.0311126983722081,48
1377,1412,22,LONG,astral,40,0.25,0,EXT,REF,0_0_0,0.413735,0.96875,0.114141103417488,0.420084025208403,0.560028570699746,0.809965930957378,1.11440028715,0.0264426046065586,0.00266506602641056,0.0246693604390491,0,-0.222397425110331,-0.381644964078222,0,0,0.0367695526217005,0.0311126983722081,48
1378,1413,22,LONG,astral,40,0,0,EXT,REF,0_0_0,0.413735,0.968958333333333,0.116605163626647,0.420084025208403,0.560028570699746,0.809965930957378,1.11440028715,0.0264426046065586,0.00266506602641056,0.0246693604390491,0,-0.222397425110331,-0.381644964078222,0,0,0.0367695526217005,0.0311126983722081,48
