,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1464,5,MED,raxml,40,NA,0.1,INT,REF,63_0_0,NA,10297,0.249273748426455,-12.8227711364399,-6.31476564699466,-8.76723406687637,0.3507259799156,-266,-142,807,-314,-96,0.26369012750743,0.117901078750556,0.0784542508981857,130,-12.1959443874274,0.283,719,63.4285714285714,31.6488464961376,1029085.921925
1465,5,MED,raxml,40,1,0.01,INT,REF,63_0_0,NA,24430,0.59141086472354,-13.1679680725766,-15.6003571978622,-9.33555502099999,0.251222260894601,-288,-127,678,-340,-79,0.142630398925923,0.0637066433583805,0.0439224254931439,116,-12.7365061899433,0.213,649,67.0816326530612,32.7340654457391,1029093.93324354
1466,5,MED,raxml,40,1,0.02,INT,REF,63_0_0,NA,18780,0.454633485039218,-13.1426589320862,-13.3632174048667,-9.81042739553437,0.270925967631433,-268,-120,673,-360,-86,0.164625101766469,0.0764088252244714,0.0523911851104371,106,-12.6475777729474,0.233,629,66,33.2382837275729,1029091.62120892
1467,5,MED,raxml,40,1,0.03,INT,REF,63_0_0,NA,16205,0.392296891643265,-12.9870151146134,-12.6179325476435,-9.88061315832732,0.392103764062946,-205,-82,800,-289,-60,0.187137497690763,0.0846414439795379,0.057951974223737,116,-12.4590186019929,0.315,741,65.8571428571429,32.2228068043508,1029090.57744149
1468,5,MED,raxml,40,1,0.04,INT,REF,63_0_0,NA,14667,0.355064394306188,-13.0171805782916,-12.6913556192078,-9.4671922951137,0.217725959441988,-294,-126,635,-398,-90,0.1997352982449,0.0907655147152041,0.0620178684964655,110,-12.5089484488774,0.207,591,68.9591836734694,31.9587099488509,1029089.4272682
1469,5,MED,raxml,40,1,0.05,INT,REF,63_0_0,NA,13379,0.323883993415319,-12.8844810407729,-11.360234127989,-10.2550121609759,0.31328893711562,-227,-102,788,-301,-66,0.217906192105757,0.0970603730781453,0.0664779820996332,124,-12.3241032779781,0.293,729,65.9285714285714,30.815797929988,1029088.72016057
1470,5,MED,raxml,40,1,0.1,INT,REF,63_0_0,NA,9892,0.239469352183596,-12.7013182302978,-1.33374887259365,-8.61795534695483,0.315259307789304,-241,-117,764,-285,-67,0.259599431335058,0.117980443010578,0.0785651606014072,128,-12.0415602719957,0.308,748,65.8571428571429,30.5843434105699,1029085.78252001
1471,10,MED,raxml,40,0.25,0.01,INT,REF,25_0_0,NA,29623,0.604292038106118,-12.9447690561361,1.65331704655771,593.616697706849,0.451214884273441,-214,-18,956,-204,-8,0.129323693219305,0.0610712220982303,0.0411158806992927,78,-12.0742160217358,0.359,855,88.5612244897959,15.5570558305238,1169532.2903068
1472,10,MED,raxml,40,0.25,0.02,INT,REF,25_0_0,NA,21782,0.444340180738867,-12.8818549763486,27.7521701117186,-1415.13132195841,0.357622277273491,-209,-13,959,-201,-5,0.150381842702468,0.0744798964267026,0.0499911397193157,74,-11.9322867172528,0.364,858,86.8571428571429,18.9986434675807,1169529.83563239
1473,10,MED,raxml,40,0.25,0.03,INT,REF,25_0_0,NA,18631,0.380061606250382,-12.771800548143,31.8813177165374,-669.410275760764,0.467963034999747,-197,-1,965,-195,1,0.170418232160404,0.0833656291844027,0.0559371172730293,82,-11.8511423151905,0.376,864,81.0816326530612,24.6825926679536,1169528.46064419
