,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
231,231,9,raxml,40,0.9,10,INT,REF,1.00000050002909e-06,0.0796261830436554,0.0334834993634472,0.0451193088287076,64.5416666666667,31.7985402671344,-3.85707463021741,1.80966991442451,0.332223314053704,0.684479364188578,0.733087808697017,1.25582164338731,s9_q40_miss0.90_mac10.REF.cichlids.INT.noInv,311
232,232,4,raxml,40,0.5,2,EXT,REF,1.00000050002909e-06,0.0445525102280945,0.00785132374809781,0.0176205237724302,91.9583333333333,15.1333903520031,-0.661618232254575,2.31748376759451,0.34869719739521,0.489317892581091,0.80447463651021,1.05500331753033,s4_q40_miss0.50_mac2.REF.cichlids.EXT.noInv,46021
233,233,3,raxml,40,0.9,0,INT,REF,0.000552257985823856,1.00000050002909e-06,0.00630060343523054,0.0100279739567837,93.9375,13.4866462717599,1.44962838631027,2.24652870668463,0.365171080736716,0.57134227919873,0.771526869827198,1.18228253814391,s3_q40_miss0.90_mac0.REF.cichlids.INT.noInv,13594
234,234,6,raxml,40,0.9,1,EXT,REF,1.00000050002909e-06,0.211830499210393,0.00584879456789564,0.021164967443236,94.2291666666667,15.2792998382157,1.41691723761511,2.00471669513242,0.293784252923524,0.503460028204822,0.634244508647981,1.09177287015203,s6_q40_miss0.90_mac1.REF.cichlids.EXT.noInv,24842
235,235,10,raxml,40,0,3,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.00904197169255328,0.0153722267706809,92.3541666666667,14.9786934966054,4.2744512173389,4.45971530035568,0.345951550171626,0.602454977570938,0.708376983684758,1.17945411101916,s10_q40_miss0_mac3.REF.cichlids.EXT.noInv,28149
236,236,10,raxml,40,0.25,3,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.00868266009469418,0.0148511565329003,88.6875,20.9732922871375,4.10886129659698,4.34164739699138,0.359679786289548,0.616597113194669,0.716613925355511,1.1879393923934,s10_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,25960
237,237,8,raxml,40,0,1,EXT,REF,0.0143547991173921,1.00000050002909e-06,0.0164767709216786,0.0795527467804191,78.6875,36.8176393027824,-10.6605466204507,7.293821297845,0.238871308451837,1.00126320216015,0.480488264127258,1.49340952186599,s8_q40_miss0_mac1.REF.cichlids.EXT.noInv,187674
238,238,7,raxml,40,0.5,0,INT,REF,1.00000050002909e-06,0.123505760355419,0.00713029123693606,0.0143948858494135,98.375,5.11828179281273,-0.84653958300107,3.8560308389528,0.293784252923524,0.565685424949238,0.628753214200812,1.17096882964492,s7_q40_miss0.50_mac0.REF.cichlids.INT.noInv,102542
239,239,8,raxml,40,0.75,2,INT,REF,1.00000050002909e-06,0.151282462241023,0.0069073724118883,0.0161930795328585,91.3333333333333,17.9826551578131,-0.560882955604365,2.53502370539592,0.299275547370692,0.540229580826522,0.705631336461174,1.13985613127271,s8_q40_miss0.75_mac2.REF.cichlids.INT.noInv,13784
240,240,4,raxml,40,0.9,2,EXT,REF,1.00000050002909e-06,0.0257097015762983,0.00612339315969074,0.0152337651736378,83.5208333333333,25.3444270455953,1.49418502652576,2.11409888610668,0.332223314053704,0.469518902707868,0.80447463651021,1.04651803615609,s4_q40_miss0.90_mac2.REF.cichlids.EXT.noInv,16252
241,241,8,raxml,40,0.5,2,INT,REF,1.00000050002909e-06,0.137549981081974,0.0075221009082698,0.0154804199457623,91.2708333333333,17.7664991742268,-1.28920872190936,2.94775199324239,0.304766841817861,0.548714862200761,0.694648747566836,1.14268455839746,s8_q40_miss0.50_mac2.REF.cichlids.INT.noInv,21375
242,242,2,raxml,40,0.75,1,EXT,REF,3.85818584867264e-05,0.0197066275217886,0.00566415312075903,0.0221182484434906,91.6041666666667,14.9506131423876,0.386364368515244,0.833712321835569,0.249853897346174,0.478004184082106,0.551875091940451,1.03803275478185,s2_q40_miss0.75_mac1.REF.cichlids.EXT.noInv,42693
243,243,8,raxml,40,0.9,2,INT,REF,1.00000050002909e-06,0.137576136719013,0.00571824830373141,0.0144398167310219,86.4791666666667,20.9670355084877,-4.63496921685558,2.48797513294464,0.302021194594277,0.562856997824492,0.691903100343252,1.1511698397717,s8_q40_miss0.90_mac2.REF.cichlids.INT.noInv,4541
244,244,10,raxml,40,0.75,3,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.00741513817457861,0.0133202115572951,83.7916666666667,24.061939870979,3.45853621822605,4.09274239604401,0.384390611301807,0.602454977570938,0.790746400392288,1.17945411101916,s10_q40_miss0.75_mac3.REF.cichlids.EXT.noInv,14465
245,245,2,raxml,40,0.9,1,EXT,REF,8.2940068871568e-05,0.0128890411429427,0.00442970810391657,0.0192228722396961,81.5625,22.5632974898843,-0.2142075043374,0.0485282860559319,0.2278887195575,0.472347329832614,0.529909914151776,1.03803275478185,s2_q40_miss0.90_mac1.REF.cichlids.EXT.noInv,6950
246,246,9,raxml,40,0.75,2,EXT,REF,1.00000050002909e-06,0.0265680888010218,0.00557776135355798,0.0139441144726655,95.7916666666667,12.8939344693267,1.62398858093501,3.21078349657596,0.370662375183885,0.466690475583121,0.782509458721535,1.05500331753033,s9_q40_miss0.75_mac2.REF.cichlids.EXT.noInv,32991
247,247,7,raxml,40,0.25,2,EXT,REF,1.00000050002909e-06,0.0544456451809225,0.00708732821659258,0.0154910516299822,91.9166666666667,16.8306120965965,-0.477367826271149,3.27418180059893,0.291038605699939,0.429920922961421,0.647972744765902,1.04651803615609,s7_q40_miss0.25_mac2.REF.cichlids.EXT.noInv,62641
