,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
153,153,2,Cichlids,astral,40,0.9,3,EXT,REF,0.271124,0.850416666666667,0.199850564740134,0.453031791891415,0.548714862200761,0.777018164274366,1.13702770414797
154,154,3,Cichlids,astral,40,0.9,3,EXT,REF,0.277487,0.890416666666667,0.176610622717711,0.444794850220662,0.735391052434009,0.77976381149795,1.30107647738325
155,155,6,Cichlids,astral,40,0.5,2,INT,REF,0.241146,0.975416666666667,0.0757082398993167,0.433812261326325,0.661851947190608,0.752307339262107,1.21622366364086
156,156,8,Cichlids,astral,40,0.75,5,INT,REF,0.234123,0.992083333333333,0.0519393399598127,0.491470853021596,0.639224530192639,0.864878875429065,1.1879393923934
157,157,2,Cichlids,astral,40,0.5,5,INT,REF,0.209569,0.976875,0.0741521222490803,0.477742616903674,0.650538238691624,0.785255105945119,1.20490995514188
158,158,6,Cichlids,astral,40,0.9,5,INT,REF,0.241146,0.854166666666667,0.21239098163061,0.480488264127258,0.687307791313324,0.826439814298884,1.26430692476155
159,159,8,Cichlids,astral,40,0.5,5,INT,REF,0.234123,0.992083333333333,0.0477564001874644,0.409101436314066,0.602454977570938,0.771526869827198,1.15682669402119
160,160,4,Cichlids,astral,40,0.5,3,EXT,REF,0.281971,0.984583333333333,0.0623633257384749,0.469505675232921,0.596798123321446,0.80447463651021,1.1511698397717
161,161,3,Cichlids,astral,40,0.75,5,INT,REF,0.229259,0.974791666666667,0.0844504030030401,0.444794850220662,0.77216060505571,0.752307339262107,1.2982480502585
162,162,7,Cichlids,astral,40,0.9,5,INT,REF,0.211928,0.935833333333333,0.144676209771195,0.378899316854638,0.497803173955329,0.708376983684758,1.09177287015203
163,163,10,Cichlids,astral,40,0.5,10,INT,REF,0.224374,0.967916666666667,0.113418043019043,0.389881905748975,0.670337228564847,0.730342161473433,1.2247089450151
164,164,3,Cichlids,astral,40,0.5,3,EXT,REF,0.277487,0.996458333333333,0.014364492768012,0.453031791891415,0.817415439051649,0.722105219802679,1.33218917575546
165,165,10,Cichlids,astral,40,0.5,3,EXT,REF,0.272004,0.977916666666667,0.0847514095365954,0.480488264127258,0.625082394568908,0.826439814298884,1.18511096526865
166,166,10,Cichlids,astral,40,0.9,3,EXT,REF,0.272004,0.92625,0.18192382085847,0.420084025208403,0.627910821693654,0.793492047615872,1.16531197539543
167,167,9,Cichlids,astral,40,0,2,INT,REF,0.220617,0.970208333333333,0.104667448725452,0.453031791891415,0.608111831820431,0.864878875429065,1.16248354827068
168,168,4,Cichlids,astral,40,0.9,3,EXT,REF,0.281971,0.939166666666667,0.127576982739139,0.354188491842379,0.545886435076015,0.689157453119668,1.11157186002525
169,169,9,Cichlids,astral,40,0.5,3,EXT,REF,0.279127,0.958958333333333,0.138121740679109,0.450286144667831,0.65336666581637,0.796237694839457,1.19076781951815
170,170,3,Cichlids,astral,40,0.5,5,INT,REF,0.229259,0.961875,0.138097348488573,0.516181678033855,0.769332177930964,0.807220283733794,1.28976276888426
171,171,10,Cichlids,astral,40,0.5,5,INT,REF,0.224374,0.981458333333333,0.077870311807472,0.39262755297256,0.625082394568908,0.738579103144186,1.18511096526865
172,172,10,Cichlids,astral,40,0.75,5,INT,REF,0.224374,0.991875,0.050556740822102,0.406355789090481,0.591141269071954,0.801728989286625,1.15682669402119
173,173,8,Cichlids,astral,40,0.9,5,INT,REF,0.234123,0.949166666666667,0.120492488215291,0.491470853021596,0.6307392488184,0.859387580981896,1.17945411101916
