,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
127,722,2,Cichlids,astral,40,0.9,0,EXT,REF,0.271124,30948,0.891875,0.165974315495667,0.351442844618795,0.789131167804187,0.757798633709276,1.33784603000495
128,245,2,Cichlids,astral,40,0.9,0,INT,REF,0.209569,43806,0.9,0.171712277903995,0.321240725159367,0.574170706323477,0.67817486422533,1.16814040252018
129,579,2,Cichlids,astral,40,0.9,1,EXT,REF,0.271124,30948,0.875833333333333,0.168053098667151,0.381644964078222,0.596798123321446,0.705631336461174,1.17945411101916
130,672,2,Cichlids,astral,40,0.9,1,INT,REF,0.209569,43806,0.904375,0.176308557497384,0.359679786289548,0.704278354061801,0.716613925355511,1.2982480502585
131,674,2,Cichlids,astral,40,0.9,2,EXT,REF,0.271124,30948,0.868958333333333,0.179849104403135,0.367916727960301,0.71276363543604,0.719359572579095,1.30107647738325
132,212,2,Cichlids,astral,40,0.9,2,INT,REF,0.209569,43806,0.898958333333333,0.173232589722154,0.384390611301807,0.5939696961967,0.74132475036777,1.1879393923934
133,153,2,Cichlids,astral,40,0.9,3,EXT,REF,0.271124,15233,0.850416666666667,0.199850564740134,0.453031791891415,0.548714862200761,0.777018164274366,1.13702770414797
134,459,2,Cichlids,astral,40,0.9,3,INT,REF,0.209569,21829,0.917291666666667,0.143967188687005,0.395373200196144,0.602454977570938,0.735833455920601,1.19076781951815
135,291,2,Cichlids,astral,40,0.9,4,EXT,REF,0.271124,13165,0.877291666666667,0.189610346060898,0.24710825012259,0.627910821693654,0.549129444716867,1.17662568389442
136,608,2,Cichlids,astral,40,0.9,4,INT,REF,0.209569,18954,0.898125,0.175191764233708,0.439303555773493,0.517602163828553,0.834676755969637,1.11157186002525
137,767,2,Cichlids,astral,40,0.9,5,EXT,REF,0.271124,9977,0.863958333333333,0.178489401119665,0.403610141866897,0.497803173955329,0.777018164274366,1.10308657865101
138,145,2,Cichlids,astral,40,0.9,5,INT,REF,0.209569,14430,0.913125,0.15952264229336,0.370662375183885,0.5939696961967,0.705631336461174,1.17662568389442
139,807,2,Cichlids,astral,40,0.9,10,EXT,REF,0.271124,5567,0.816666666666667,0.206843895639007,0.420084025208403,0.704278354061801,0.722105219802679,1.26430692476155
140,77,2,Cichlids,astral,40,0.9,10,INT,REF,0.209569,8141,0.844583333333333,0.196078125260504,0.428320966879156,0.715592062560786,0.74132475036777,1.26996377901104
141,780,3,Cichlids,astral,40,0,0,EXT,REF,0.277487,407090,0.96875,0.0977540334913593,0.436557908549909,0.859841845922842,0.711122630908342,1.36895872837716
142,250,3,Cichlids,astral,40,0,0,INT,REF,0.229259,492054,0.999583333333333,0.00201940936523459,0.384390611301807,0.786302740679441,0.680920511448915,1.31239018588223
143,482,3,Cichlids,astral,40,0,1,EXT,REF,0.277487,407090,0.953333333333333,0.168729083284712,0.604042389188553,0.840042856049618,0.944502644913011,1.35481659275343
144,593,3,Cichlids,astral,40,0,1,INT,REF,0.229259,492054,0.992916666666667,0.0433667356261138,0.340460255724457,0.789131167804187,0.598551094741385,1.31521861300698
145,564,3,Cichlids,astral,40,0,2,EXT,REF,0.277487,407090,0.966875,0.0957202539762437,0.969213469925269,0.859841845922842,1.46892126461762,1.36895872837716
146,175,3,Cichlids,astral,40,0,2,INT,REF,0.229259,492054,0.997083333333333,0.0135204074805353,0.730342161473433,0.789131167804187,1.15317183390542,1.31521861300698
