,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
190,443,3,Lates,astral,40,0.75,3,INT,REF,0.0410177,4724,0.725208333333333,0.235697151368277,0.318495077935783,1.0776307345283,0.582077211399879,1.54149278298667
191,597,3,Lates,astral,40,0.75,4,EXT,REF,0.54571,17411,0.817708333333333,0.25836836298763,0.302021194594277,1.18511096526865,0.527164266928192,1.62634559672906
192,422,3,Lates,astral,40,0.75,4,INT,REF,0.0410177,4303,0.731458333333333,0.239369647228266,0.683666158672499,0.984292639411674,1.0515828866328,1.49906637611548
193,726,3,Lates,astral,40,0.75,5,EXT,REF,0.54571,16126,0.838125,0.229816358231172,0.293784252923524,1.21339523651612,0.51343603081027,1.64897301372703
194,385,3,Lates,astral,40,0.75,5,INT,REF,0.0410177,4063,0.717291666666667,0.277954072307021,0.969213469925269,1.07480230740355,1.28770854786105,1.54432121011142
195,150,3,Lates,astral,40,0.75,10,EXT,REF,0.54571,11959,0.819375,0.216828260798382,0.472251322456505,1.32370389438122,0.702885689237589,1.74231110884365
196,367,3,Lates,astral,40,0.75,10,INT,REF,0.0410177,3171,0.698125,0.270198164080255,1.02961770884412,1.11722871427475,1.35909537567424,1.57543390848363
197,677,3,Lates,astral,40,0.9,0,EXT,REF,0.54571,53484,0.858958333333333,0.245272228986603,0.417338377984819,0.879640835796065,0.790746400392288,1.41704198949784
198,787,3,Lates,astral,40,0.9,0,INT,REF,0.0410177,12715,0.8025,0.232319479221033,0.271819075134849,0.647709811566877,0.5958054475178,1.20773838226662
199,681,3,Lates,astral,40,0.9,1,EXT,REF,0.54571,53484,0.86625,0.242079861976307,0.417338377984819,0.879640835796065,0.790746400392288,1.41704198949784
200,156,3,Lates,astral,40,0.9,1,INT,REF,0.0410177,12715,0.82,0.221541984878329,0.238871308451837,0.661851947190608,0.551875091940451,1.22188051789035
201,717,3,Lates,astral,40,0.9,2,EXT,REF,0.54571,53484,0.856875,0.247645562181286,0.354188491842379,0.905096679918781,0.683666158672499,1.43118412512157
202,523,3,Lates,astral,40,0.9,2,INT,REF,0.0410177,12715,0.808541666666667,0.225076720568441,0.230634366781084,0.687307791313324,0.538146855822529,1.24167950776358
203,738,3,Lates,astral,40,0.9,3,EXT,REF,0.54571,12097,0.789583333333333,0.263058591752931,0.944502644913011,0.998434775035405,1.22455866171861,1.50755165748972
204,470,3,Lates,astral,40,0.9,3,INT,REF,0.0410177,2718,0.69625,0.240996380303001,0.573840269729126,0.930552524041496,0.947248292136595,1.45663996924429
205,624,3,Lates,astral,40,0.9,4,EXT,REF,0.54571,10440,0.797291666666667,0.241438416299578,0.991178647713944,1.04651803615609,1.25476078117804,1.54432121011142
206,462,3,Lates,astral,40,0.9,4,INT,REF,0.0410177,2449,0.69375,0.241939195807718,0.244362602899006,0.970150503787943,0.496962147468764,1.47926738624226
207,729,3,Lates,astral,40,0.9,5,EXT,REF,0.54571,9630,0.789166666666667,0.250538427284318,0.296529900147108,0.964493649538451,0.615024978082891,1.47926738624226
208,446,3,Lates,astral,40,0.9,5,INT,REF,0.0410177,2305,0.693541666666667,0.228822049072732,0.260836486240512,0.961665222413705,0.518927325257439,1.45381154211954
