,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
256,256,10,Lates,astral,40,0.5,1,INT,REF,0.0378395,0.850208333333333,0.182820567576731,0.65895533366024,0.820243866176395,0.917046172677167,1.34633131137919
257,257,2,Lates,astral,40,0.5,1,INT,REF,0.0360989,0.832083333333333,0.233920866173169,0.766035575380029,0.817415439051649,1.07354806442147,1.33218917575546
258,258,5,Lates,astral,40,0,1,INT,REF,0.0398327,0.78875,0.230546298484016,0.488725205798011,0.704278354061801,0.790746400392288,1.24167950776358
259,259,6,Lates,astral,40,0.5,0,INT,REF,0.0389125,0.812708333333333,0.210134096834574,0.601296741964969,0.738219479558756,1.00216123660828,1.28693434175952
260,260,4,Lates,astral,40,0.5,0,INT,REF,0.0408547,0.801458333333333,0.245278734914828,0.664446628107409,0.766503750806217,0.933520056018673,1.29259119600901
261,261,9,Lates,astral,40,0.5,0,INT,REF,0.0392779,0.807291666666667,0.238548265184836,0.900572289335661,1.03803275478185,1.20259348392994,1.53017907448769
262,262,5,Lates,astral,40,0.5,1,INT,REF,0.0398327,0.785,0.220868691134358,0.439303555773493,0.840042856049618,0.702885689237589,1.33784603000495
263,263,1,Lates,astral,40,0.5,1,INT,REF,0.0397409,0.777291666666667,0.245493333820604,0.288292958476355,0.774989032180456,0.617770625306475,1.34067445712969
264,264,3,Lates,astral,40,0.9,0,INT,REF,0.0410177,0.794583333333333,0.238282492221503,0.2278887195575,0.678822509939086,0.535401208598945,1.23319422638934
265,265,4,Lates,astral,40,0.25,1,EXT,REF,0.554472,0.936875,0.128098304172674,0.708376983684758,0.766503750806217,1.06531112275072,1.28693434175952
266,266,7,Lates,astral,40,0.9,0,INT,REF,0.0393079,0.805208333333333,0.221753069333584,0.510690383586686,0.540229580826522,0.862133228205481,1.13419927702322
267,267,1,Lates,astral,40,0.25,1,EXT,REF,0.550003,0.874791666666667,0.170917294710646,0.293784252923524,1.03520432765711,0.502453441915933,1.51038008461447
