,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
273,273,4,raxml,Cichlids,40,0.5,0,EXT,REF,3.04923268404135e-05,0.0317101438554967,0.00697186944926073,0.0105558772805673,91.9583333333333,18.8476064661682,1.0228149440298,3.12835199172332,0.362425433513132,0.489317892581091,0.719359572579095,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac0_EXT.noInv.phy,141478,0.281971
274,274,4,raxml,Cichlids,40,0.5,10,EXT,REF,1.00000050002909e-06,0.401076620926602,0.0276825687525891,0.0394895258731649,90.4791666666667,21.2662849573339,-1.16031865921045,5.8304265224359,0.351442844618795,0.478004184082106,0.713868278131927,1.06066017177982,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac10_EXT.noInv.phy,38688,0.281971
275,275,4,raxml,Cichlids,40,0.5,1,EXT,REF,3.04923268404135e-05,0.0317101438554967,0.00697186944926073,0.0105558772805673,91.9583333333333,18.8476064661682,1.0228149440298,3.12835199172332,0.362425433513132,0.489317892581091,0.719359572579095,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac1_EXT.noInv.phy,141478,0.281971
276,276,4,raxml,Cichlids,40,0.5,2,EXT,REF,3.04923268404135e-05,0.0317101438554967,0.00697186944926073,0.0105558772805673,91.9583333333333,18.8476064661682,1.0228149440298,3.12835199172332,0.362425433513132,0.489317892581091,0.719359572579095,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac2_EXT.noInv.phy,141478,0.281971
277,277,4,raxml,Cichlids,40,0.5,3,EXT,REF,2.68501874155024e-05,0.0368262652755951,0.00991724133969824,0.0122961287790214,91.875,19.7942878070224,0.162349602506366,4.19826842648436,0.362425433513132,0.489317892581091,0.719359572579095,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac3_EXT.noInv.phy,91706,0.281971
278,278,4,raxml,Cichlids,40,0.5,4,EXT,REF,1.9618104038175e-05,0.108846510614422,0.0110393533656369,0.0142738849560353,92.4166666666667,18.5653914277412,0.210407914709199,4.56673964168581,0.32947766683012,0.489317892581091,0.675429217001746,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac4_EXT.noInv.phy,81952,0.281971
279,279,4,raxml,Cichlids,40,0.5,5,EXT,REF,1.00000050002909e-06,0.151776607926145,0.0136857860731424,0.0184435860375838,90.5833333333333,20.6529925020753,-0.0270583228157801,5.00586251251352,0.362425433513132,0.489317892581091,0.719359572579095,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.50_mac5_EXT.noInv.phy,66103,0.281971
280,280,4,raxml,Cichlids,40,0.75,0,EXT,REF,1.82946371827757e-05,0.0420904868770905,0.00648249031509763,0.0097815473310956,91.5833333333333,20.8855374304533,0.67298048612192,2.89626869145143,0.334968961277289,0.461033621333629,0.702885689237589,1.04934646328084,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.75_mac0_EXT.noInv.phy,103748,0.281971
281,281,4,raxml,Cichlids,40,0.75,10,EXT,REF,1.00000050002909e-06,0.374831856133983,0.0262034455335288,0.0369681245710958,87.125,25.5756075612616,-1.38859583149268,5.77496239384071,0.318495077935783,0.478004184082106,0.669937922554577,1.06066017177982,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.75_mac10_EXT.noInv.phy,27726,0.281971
282,282,4,raxml,Cichlids,40,0.75,1,EXT,REF,1.82946371827757e-05,0.0420904868770905,0.00648249031509763,0.0097815473310956,91.5833333333333,20.8855374304533,0.67298048612192,2.89626869145143,0.334968961277289,0.461033621333629,0.702885689237589,1.04934646328084,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.75_mac1_EXT.noInv.phy,103748,0.281971
283,283,4,raxml,Cichlids,40,0.75,2,EXT,REF,1.82946371827757e-05,0.0420904868770905,0.00648249031509763,0.0097815473310956,91.5833333333333,20.8855374304533,0.67298048612192,2.89626869145143,0.334968961277289,0.461033621333629,0.702885689237589,1.04934646328084,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.75_mac2_EXT.noInv.phy,103748,0.281971
284,284,4,raxml,Cichlids,40,0.75,3,EXT,REF,1.4485185287947e-05,0.090297932444364,0.00930963026766844,0.0115303085996725,91.6041666666667,20.2922682931768,-0.0548979706055118,3.98975765862665,0.334968961277289,0.461033621333629,0.702885689237589,1.04934646328084,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.75_mac3_EXT.noInv.phy,67310,0.281971
