,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1527,2,10000000,raxml,20,0.75,0.02,EXT,REF,0_0_0,192479,0.217618507618609,-23.3521921065396,686,1052,1.00000050002909e-06,0.000157265328490881,0.000366639079041751,48,-23.1565001108893,632,1085,NA,NA,440298987.444916,-20.0002066188929,204,243
1528,2,10000000,raxml,20,0.75,0.02,EXT,REF,0_0_0,192479,0.217618507618609,-23.3521921065396,689,1147,1.00000050002909e-06,0.000157265328490881,0.000366639079041751,48,-23.1565001108893,536,1085,82.6734693877551,30.6155999283581,440298987.444916,-20.0002066188929,107,243
1529,2,10000000,raxml,20,0.75,0.03,EXT,REF,0_0_0,114337,0.129270451870536,-23.6266058151456,701,1156,1.00000050002909e-06,0.00020322572987848,0.000575996115333106,86,-23.4414976243066,647,1003,NA,NA,440298987.448873,-20.274620327499,219,258
1530,2,10000000,raxml,20,0.75,0.03,EXT,REF,0_0_0,114337,0.129270451870536,-23.6266058151456,701,1153,1.00000050002909e-06,0.00020322572987848,0.000575996115333106,86,-23.4414976243066,647,1097,63.7040816326531,41.09887729765,440298987.448873,-20.274620327499,216,261
1531,2,10000000,raxml,20,0.75,0.04,EXT,REF,0_0_0,76916,0.0869619290000102,-28.2227310974496,716,1172,1.00000050002909e-06,0.000220035785925697,0.000734816293442564,102,-27.9118775875586,569,1121,NA,NA,440298987.44312,-24.870745609803,132,183
1532,2,10000000,raxml,20,0.75,0.04,EXT,REF,0_0_0,76916,0.0869619290000102,-28.2227310974496,617,1075,1.00000050002909e-06,0.000220035785925697,0.000734816293442564,102,-27.9118775875586,569,1121,58.2040816326531,40.7875964529125,440298987.44312,-24.870745609803,230,280
1533,2,10000000,raxml,20,0.75,0.05,EXT,REF,0_0_0,45664,0.0516281336244275,-30.5088736562247,1049,1435,1.00000050002909e-06,0.000282831814524196,0.00106436725324787,132,-30.363952073494,994,1378,NA,NA,440298987.464378,-27.1568881685781,564,608
1534,2,10000000,raxml,20,0.75,0.05,EXT,REF,0_0_0,45664,0.0516281336244275,-30.5088736562247,1119,1503,1.00000050002909e-06,0.000282831814524196,0.00106436725324787,132,-30.363952073494,994,1445,52.1326530612245,42.8523328179488,440298987.464378,-27.1568881685781,564,677
1535,2,10000000,raxml,20,0.75,0,EXT,REF,0_0_0,819892,0.926977350508039,-26.5768333398705,714,1092,2.84606937635232e-06,4.19010596655038e-05,4.14573859140247e-05,16,-26.2489410485965,668,1140,NA,NA,440298987.415826,-23.2248478522239,229,282
1536,2,10000000,raxml,20,0.75,0,EXT,REF,0_0_0,819892,0.926977350508039,-26.5768333398705,614,1190,2.84606937635232e-06,4.19010596655038e-05,4.14573859140247e-05,16,-26.2489410485965,668,1140,93.5816326530612,19.6452682949134,440298987.415826,-23.2248478522239,129,183
1537,2,10000000,raxml,20,0,0.01,EXT,REF,0_0_0,368132,0.416213386637783,-23.1754723366641,593,1067,1.00000050002909e-06,0.000114352845149915,0.000201875432324018,10,-22.9693410329917,443,1011,NA,NA,440298987.435258,-19.8234868490175,111,57
1538,2,10000000,raxml,20,0,0.01,EXT,REF,0_0_0,368132,0.416213386637783,-23.1754723366641,596,975,1.00000050002909e-06,0.000114352845149915,0.000201875432324018,10,-22.9693410329917,539,917,94.7244897959184,18.3031632735842,440298987.435258,-19.8234868490175,111,153
1539,2,10000000,raxml,20,0,0.02,EXT,REF,0_0_0,194408,0.219799452559077,-23.3525407518633,686,1143,1.00000050002909e-06,0.000157281583893605,0.000366517760706219,46,-23.1568110878232,626,1087,NA,NA,440298987.444926,-20.0005552642167,201,147
1540,2,10000000,raxml,20,0,0.02,EXT,REF,0_0_0,194408,0.219799452559077,-23.3525407518633,683,1146,1.00000050002909e-06,0.000157281583893605,0.000366517760706219,46,-23.1568110878232,626,1084,82.5102040816327,30.8779589418007,440298987.444926,-20.0005552642167,198,243
1541,2,10000000,raxml,20,0,0.03,EXT,REF,0_0_0,117891,0.133288636587189,-23.6278115685207,641,1103,1.00000050002909e-06,0.000202539504860072,0.000573389678444313,80,-23.4426339146501,491,1044,NA,NA,440298987.457337,-20.2758260808741,62,198
1542,2,10000000,raxml,20,0,0.03,EXT,REF,0_0_0,117891,0.133288636587189,-23.6278115685207,644,1011,1.00000050002909e-06,0.000202539504860072,0.000573389678444313,80,-23.4426339146501,587,953,65.9387755102041,39.0431472468444,440298987.457337,-20.2758260808741,159,105
1543,2,10000000,raxml,20,0,0.04,EXT,REF,0_0_0,79311,0.089669737777833,-30.1266367943156,994,1398,1.00000050002909e-06,0.000219685972806352,0.000732532219811118,108,-29.9603993370182,940,1245,NA,NA,440298987.447194,-26.774651306669,409,455
1544,2,10000000,raxml,20,0,0.04,EXT,REF,0_0_0,79311,0.089669737777833,-30.1266367943156,994,1300,1.00000050002909e-06,0.000219685972806352,0.000732532219811118,108,-29.9603993370182,940,1342,57.530612244898,41.5392508659929,440298987.447194,-26.774651306669,509,554
1545,2,10000000,raxml,20,0,0.05,EXT,REF,0_0_0,47494,0.0536971482646846,-26.6449346793074,1183,1503,1.00000050002909e-06,0.000282522124570824,0.00106319810066004,120,-26.3398688323254,1123,1539,NA,NA,440298987.473293,-23.2929491916608,598,737
1546,2,10000000,raxml,20,0,0.05,EXT,REF,0_0_0,47494,0.0536971482646846,-26.6449346793074,1083,1601,1.00000050002909e-06,0.000282522124570824,0.00106319810066004,120,-26.3398688323254,1123,1539,50.7857142857143,42.8397276840229,440298987.473293,-23.2929491916608,598,638
1547,2,10000000,raxml,20,0,0,EXT,REF,0_0_0,817799,0.924610985676313,-26.5805852247284,714,1190,2.84582903536511e-06,4.19400472034407e-05,4.14975905242238e-05,16,-26.2527236252514,668,1140,NA,NA,440298987.415822,-23.2285997370818,229,282
1548,2,10000000,raxml,20,0,0,EXT,REF,0_0_0,817799,0.924610985676313,-26.5805852247284,714,1190,2.84582903536511e-06,4.19400472034407e-05,4.14975905242238e-05,16,-26.2527236252514,668,1043,93.530612244898,19.8521359216639,440298987.415822,-23.2285997370818,229,183
1549,2,10000000,raxml,20,1,0.01,EXT,REF,0_0_0,354547,0.40085406210888,-26.4429492387276,939,1263,1.00000050002909e-06,0.000116124950678293,0.000205674698886398,32,-26.2395981871296,878,1201,NA,NA,440298987.435655,-23.090963751081,354,492
1550,2,10000000,raxml,20,1,0.01,EXT,REF,0_0_0,354547,0.40085406210888,-26.4429492387276,939,1361,1.00000050002909e-06,0.000116124950678293,0.000205674698886398,32,-26.2395981871296,878,1298,93.765306122449,19.7268988060278,440298987.435655,-23.090963751081,354,492
1551,2,10000000,raxml,20,1,0.02,EXT,REF,0_0_0,185628,0.209872704722215,-24.6722113292339,1065,1375,1.00000050002909e-06,0.000159447783921818,0.000371370908969927,66,-24.5212486732877,904,1409,NA,NA,440298987.446576,-21.3202258415873,580,518
1552,2,10000000,raxml,20,1,0.02,EXT,REF,0_0_0,185628,0.209872704722215,-24.6722113292339,1065,1375,1.00000050002909e-06,0.000159447783921818,0.000371370908969927,66,-24.5212486732877,904,1312,78.3469387755102,32.6973317871078,440298987.446576,-21.3202258415873,580,518
1553,2,10000000,raxml,20,1,0.03,EXT,REF,0_0_0,108256,0.12239521797578,-23.6088206854941,691,1058,1.00000050002909e-06,0.000207170370085765,0.000590752096743299,86,-23.427824586175,538,1094,NA,NA,440298987.454174,-20.2568351978475,203,248
1554,2,10000000,raxml,20,1,0.03,EXT,REF,0_0_0,108256,0.12239521797578,-23.6088206854941,691,1058,1.00000050002909e-06,0.000207170370085765,0.000590752096743299,86,-23.427824586175,538,1094,61.4183673469388,40.2035858967387,440298987.454174,-20.2568351978475,203,152
1555,2,10000000,raxml,20,1,0.04,EXT,REF,0_0_0,72483,0.0819499388905785,-26.000475182904,958,1372,1.00000050002909e-06,0.000224575153803127,0.000757824725913808,112,-25.8538876013453,798,1309,NA,NA,440298987.46244,-22.6484896952574,473,511
1556,2,10000000,raxml,20,1,0.04,EXT,REF,0_0_0,72483,0.0819499388905785,-26.000475182904,858,1372,1.00000050002909e-06,0.000224575153803127,0.000757824725913808,112,-25.8538876013453,897,1309,51.6122448979592,42.0381840792591,440298987.46244,-22.6484896952574,373,511
1557,2,10000000,raxml,20,1,0.05,EXT,REF,0_0_0,42806,0.0483968528365286,-25.9437670373018,946,1392,1.00000050002909e-06,0.000293286357343776,0.00112956344648652,120,-25.8241619022454,992,1434,NA,NA,440298987.466164,-22.5917815496552,561,606
1558,2,10000000,raxml,20,1,0.05,EXT,REF,0_0_0,42806,0.0483968528365286,-25.9437670373018,1046,1392,1.00000050002909e-06,0.000293286357343776,0.00112956344648652,120,-25.8241619022454,893,1337,46.3673469387755,42.9599160462766,440298987.466164,-22.5917815496552,561,606
