,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
9338,1,10000000,raxml,20,1,0.01,EXT,REF,0_0_0,0.213791,187845,0.241008606487968,-28.8664781433266,436,1008,1.00000050002909e-06,0.000107433356573704,0.000181843950790198,30,-28.4953175391389,421,991,NA,NA,653295635.409858,-31.3380766647823,-66,18
9339,1,10000000,raxml,20,1,0.01,EXT,NOREF,0_0_0,0.213791,187845,0.241008606487968,-27.9065231558531,614,1052,1.00000050002909e-06,7.8821739061814e-05,0.000132742825520411,30,-27.9065231558531,614,1052,89.8659793814433,26.658187010896,443295635.411743,-23.8789445952187,116,213
9340,1,10000000,raxml,20,1,0.01,EXT,REF,0_0_0,0.213791,187845,0.241008606487968,-28.8664781433266,530,916,1.00000050002909e-06,0.000107433356573704,0.000181843950790198,30,-28.4953175391389,517,991,89.8061224489796,26.900986132718,653295635.409858,-31.3380766647823,28,111
9341,1,10000000,raxml,20,1,0.02,EXT,NOREF,0_0_0,0.213791,122143,0.156711726275705,-24.7977126465605,723,1060,1.00000050002909e-06,8.76850126515907e-05,0.000183287531259865,52,-24.7977126465605,723,1157,NA,NA,443295635.418051,-20.7701340859262,320,320
9342,1,10000000,raxml,20,1,0.02,EXT,REF,0_0_0,0.213791,122143,0.156711726275705,-28.9329939304629,529,1085,1.00000050002909e-06,0.000106730007165003,0.000224020528503312,46,-28.5508698586728,513,1064,NA,NA,653295635.419734,-31.4045924519186,123,110
9343,1,10000000,raxml,20,1,0.02,EXT,NOREF,0_0_0,0.213791,122143,0.156711726275705,-24.7977126465605,723,1157,1.00000050002909e-06,8.76850126515907e-05,0.000183287531259865,52,-24.7977126465605,624,1157,75.8556701030928,35.0796681648601,443295635.418051,-20.7701340859262,221,221
9344,1,10000000,raxml,20,1,0.02,EXT,REF,0_0_0,0.213791,122143,0.156711726275705,-28.9329939304629,529,1083,1.00000050002909e-06,0.000106730007165003,0.000224020528503312,46,-28.5508698586728,610,969,74.9183673469388,36.1293990206815,653295635.419734,-31.4045924519186,27,205
9345,1,10000000,raxml,20,1,0.03,EXT,NOREF,0_0_0,0.213791,73816,0.0947072921638363,-25.0839997233206,903,1319,1.00000050002909e-06,9.38113038683218e-05,0.000234123019738702,100,-25.0839997233206,903,1319,NA,NA,443295635.417326,-21.0564211626863,500,401
9346,1,10000000,raxml,20,1,0.03,EXT,REF,0_0_0,0.213791,73816,0.0947072921638363,-25.7226777417326,851,1271,1.00000050002909e-06,0.000108799530434057,0.000272691659255915,78,-25.4499382037684,883,1202,NA,NA,653295635.419876,-28.1942762631883,449,381
9347,1,10000000,raxml,20,1,0.03,EXT,NOREF,0_0_0,0.213791,73816,0.0947072921638363,-25.0839997233206,903,1222,1.00000050002909e-06,9.38113038683218e-05,0.000234123019738702,100,-25.0839997233206,804,1319,60.1443298969072,40.814618931906,443295635.417326,-21.0564211626863,500,500
9348,1,10000000,raxml,20,1,0.03,EXT,REF,0_0_0,0.213791,73816,0.0947072921638363,-25.7226777417326,951,1369,1.00000050002909e-06,0.000108799530434057,0.000272691659255915,78,-25.4499382037684,883,1202,59.234693877551,41.0965172779829,653295635.419876,-28.1942762631883,449,480
9349,1,10000000,raxml,20,1,0.04,EXT,NOREF,0_0_0,0.213791,34450,0.0441999866566078,-25.7546258028415,1105,1598,1.00000050002909e-06,0.000100245626250049,0.000315195892595074,128,-25.7546258028415,1105,1598,NA,NA,443295635.418244,-21.7270472422071,801,702
9350,1,10000000,raxml,20,1,0.04,EXT,REF,0_0_0,0.213791,34450,0.0441999866566078,-26.3743516329076,882,1292,1.00000050002909e-06,0.000127664944360508,0.000402646924566476,110,-26.2016528305814,863,1269,NA,NA,653295635.426675,-28.8459501543633,470,549
