,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1800,2,10000000,raxml,60,1,0,EXT,REF,0_0_0,1634,NA,-15.2471694097092,533,1075,0.00143755355182213,7.07185148431357e-05,0.000113814263058701,16,10.301140115109,532,976,NA,0.239258554720061,503198144.420592,-12.1530984867531,154,156
1801,1,10000000,raxml,0,0.25,0.01,INT,NOREF,11_0_0,711,NA,-25.8771476418909,502,899,3.42838243760026e-05,0.000124454499594134,0.000218915095494925,28,28.0699558511776,426,874,NA,0.239258554720061,448472052.028123,-24.6113184791345,-47,-46
1802,1,10000000,raxml,0,0.25,0.01,INT,REF,11_0_0,711,NA,-26.1338453688603,469,923,3.43836319557632e-05,0.0001235748126265,0.000218829734587442,12,27.0161667321336,448,898,NA,0.239258554720061,448472052.026609,-24.8680162061039,-24,-24
1803,1,10000000,raxml,0,0.25,0.05,INT,NOREF,11_0_0,157,NA,-26.1780701955409,578,996,1.00000050002909e-06,0.000165819952132058,0.000596084222037614,130,36.8231983445184,557,971,NA,0.239258554720061,448472052.046092,-24.9122410327845,84,85
1804,1,10000000,raxml,0,0.25,0.05,INT,REF,11_0_0,157,NA,-26.3647914081113,519,955,1.00000050002909e-06,0.000164316966490674,0.000593851677467149,120,35.6569390314417,498,930,NA,0.239258554720061,448472052.035853,-25.0989622453549,4,26
1805,1,10000000,raxml,0,0.25,0.1,INT,NOREF,11_0_0,60,NA,-27.0787332079131,623,1081,1.00000050002909e-06,0.000263400366867618,0.00131641639529586,156,-27.3946384772066,551,981,NA,0.239258554720061,448472052.06531,-25.8129040451566,78,79
1806,1,10000000,raxml,0,0.25,0.1,INT,REF,11_0_0,60,NA,-27.2277050848245,1079,1445,1.00000050002909e-06,0.000261006235229315,0.00131283460936605,160,-27.5412522404316,1002,1420,NA,0.239258554720061,448472052.065352,-25.9618759220681,508,530
1807,1,10000000,raxml,0,0.25,0.15,INT,NOREF,11_0_0,53,NA,-27.7961329600208,1148,1522,1.00000050002909e-06,0.000151279750013897,0.000837256006488704,176,-28.1163061272903,1125,1495,NA,0.239258554720061,448472052.043252,-26.5303037972644,652,653
1808,1,10000000,raxml,0,0.25,0.15,INT,REF,11_0_0,53,NA,-27.9478728974113,740,1241,1.00000050002909e-06,0.000150072977648918,0.00083489964001886,166,-28.2650957108383,718,1140,NA,0.239258554720061,448472052.043292,-26.6820437346548,246,246
1809,1,10000000,raxml,0,0.25,0,INT,NOREF,11_0_0,1700,NA,-14.9331299965767,510,901,0.00144037105204838,6.86937871939394e-05,0.000114499792202296,28,0.361828259809946,434,876,NA,0.239258554720061,448472052.009565,-13.6673008338203,-61,-38
1810,1,10000000,raxml,0,0.25,0,INT,REF,11_0_0,1731,NA,-15.0010487914269,582,1028,0.00139946415622819,6.72888209085412e-05,0.000111454788360006,20,4.24696469771581,483,927,NA,0.239258554720061,448472052.008406,-13.7352196286705,-11,11
1811,1,10000000,raxml,0,0.5,0.01,INT,NOREF,11_0_0,710,NA,-25.8774180920213,524,899,3.43391995299574e-05,0.000124485927684346,0.000219348240018524,26,28.0700884996963,426,874,NA,0.239258554720061,448472052.027769,-24.6115889292649,-47,-46
1812,1,10000000,raxml,0,0.5,0.01,INT,REF,11_0_0,710,NA,-26.136141052354,505,981,3.44384290760391e-05,0.000123603373648775,0.000219256815401428,14,26.9839173542683,428,880,NA,0.239258554720061,448472052.025079,-24.8703118895976,-44,-44
1813,1,10000000,raxml,0,0.5,0.05,INT,NOREF,11_0_0,157,NA,-26.1780701955409,578,996,1.00000050002909e-06,0.000165819952132058,0.000596084222037614,130,36.8231983445184,557,971,NA,0.239258554720061,448472052.046092,-24.9122410327845,84,85
1814,1,10000000,raxml,0,0.5,0.05,INT,REF,11_0_0,157,NA,-26.3647914081113,519,1009,1.00000050002909e-06,0.000164316966490674,0.000593851677467149,120,35.6569390314417,498,930,NA,0.239258554720061,448472052.035853,-25.0989622453549,26,26
1815,1,10000000,raxml,0,0.5,0.1,INT,NOREF,11_0_0,60,NA,-27.0787332079131,576,1010,1.00000050002909e-06,0.000263400366867618,0.00131641639529586,156,-27.3946384772066,551,981,NA,0.239258554720061,448472052.06531,-25.8129040451566,78,79
1816,1,10000000,raxml,0,0.5,0.1,INT,REF,11_0_0,60,NA,-27.2277050848245,1101,1499,1.00000050002909e-06,0.000261006235229315,0.00131283460936605,160,-27.5412522404316,1002,1420,NA,0.239258554720061,448472052.065352,-25.9618759220681,530,530
1817,1,10000000,raxml,0,0.5,0.15,INT,NOREF,11_0_0,53,NA,-27.7961329600208,1223,1571,1.00000050002909e-06,0.000151279750013897,0.000837256006488704,176,-28.1163061272903,1125,1495,NA,0.239258554720061,448472052.043252,-26.5303037972644,652,653
1818,1,10000000,raxml,0,0.5,0.15,INT,REF,11_0_0,53,NA,-27.9478728974113,817,1241,1.00000050002909e-06,0.000150072977648918,0.00083489964001886,166,-28.2650957108383,718,1140,NA,0.239258554720061,448472052.043292,-26.6820437346548,169,246
1819,1,10000000,raxml,0,0.5,0,INT,NOREF,11_0_0,1699,NA,-14.9310106183687,515,985,0.00144054432108905,6.86615159088375e-05,0.000114486778149069,22,0.391810579389308,439,885,NA,0.239258554720061,448472052.009772,-13.6651814556123,-111,-33
1820,1,10000000,raxml,0,0.5,0,INT,REF,11_0_0,1730,NA,-15.0009211246964,572,1018,0.00139954510984951,6.7253761186203e-05,0.00011143013352714,24,4.23041248356422,473,917,NA,0.239258554720061,448472052.008069,-13.7350919619399,-77,1
1821,1,10000000,raxml,0,0.75,0.01,INT,NOREF,11_0_0,710,NA,-25.8774180920213,502,952,3.43391995299574e-05,0.000124485927684346,0.000219348240018524,26,28.0700884996963,426,874,NA,0.239258554720061,448472052.027769,-24.6115889292649,-69,-46
1822,1,10000000,raxml,0,0.75,0.01,INT,REF,11_0_0,710,NA,-26.136141052354,505,905,3.44384290760391e-05,0.000123603373648775,0.000219256815401428,14,26.9839173542683,428,880,NA,0.239258554720061,448472052.025079,-24.8703118895976,-122,-44
1823,1,10000000,raxml,0,0.75,0.05,INT,NOREF,11_0_0,157,NA,-26.1780701955409,633,1071,1.00000050002909e-06,0.000165819952132058,0.000596084222037614,130,36.8231983445184,557,971,NA,0.239258554720061,448472052.046092,-24.9122410327845,7,85
